Area,Compactness,Eccentricity,Class
958,1.686007487741348,0.5343648882458462,Negative for intraepithelial lesion
217,0.9931896427906907,0.25963455301506083,Negative for intraepithelial lesion
1034,1.3574970154909214,0.48902892342333687,Negative for intraepithelial lesion
498,2.1894346922539403,0.7670809860797256,Negative for intraepithelial lesion
322,1.055592750215684,0.5707827983917954,Negative for intraepithelial lesion
480,1.44175543397466,0.7440544993724536,Negative for intraepithelial lesion
337,1.1088748827653967,0.7949856776255143,Negative for intraepithelial lesion
408,1.0425948865507495,0.513154741509358,Negative for intraepithelial lesion
256,1.0348537554813266,0.5722974161918559,Negative for intraepithelial lesion
697,1.0875243899487688,0.5140731411739624,Negative for intraepithelial lesion
5802,1.4409110654470865,0.9139944408085326,Negative for intraepithelial lesion
3522,11.871826784161064,0.7933073009208097,Negative for intraepithelial lesion
7176,1.372775944683553,0.7673576569732353,Negative for intraepithelial lesion
468,1.1552527533717933,0.7980039450419392,Negative for intraepithelial lesion
349,1.0450151816987383,0.6573170319775175,Negative for intraepithelial lesion
338,1.132486995302313,0.7760903266663634,Negative for intraepithelial lesion
798,4.439472344591904,0.693628984333906,Negative for intraepithelial lesion
294,1.2103366763151848,0.6743192403440545,Negative for intraepithelial lesion
1235,1.126556369565728,0.7278813993628842,Negative for intraepithelial lesion
940,2.247960595728022,0.4199410897657183,Negative for intraepithelial lesion
8044,2.527116404082701,0.7070921647059479,Negative for intraepithelial lesion
551,1.519381721173324,0.8678032579707036,Negative for intraepithelial lesion
287,1.163188296330915,0.7981663688031998,Negative for intraepithelial lesion
473,1.0724493671310624,0.5010139453540712,Negative for intraepithelial lesion
316,1.095004128765568,0.47360555632812384,Negative for intraepithelial lesion
800,1.3709256837329926,0.78080149205226,Negative for intraepithelial lesion
373,1.050883653348637,0.628103126039386,Negative for intraepithelial lesion
303,1.145468305181223,0.6747516541047567,Negative for intraepithelial lesion
273,1.0800277411080672,0.47425708200900113,Negative for intraepithelial lesion
587,1.4425369359320501,0.39202088445421496,Negative for intraepithelial lesion
364,1.0515950706814372,0.5162452458291197,Negative for intraepithelial lesion
399,1.1077544036033298,0.5711357942266743,Negative for intraepithelial lesion
298,1.047376599430406,0.5165497040977596,Negative for intraepithelial lesion
305,1.137957033498096,0.5032283309435677,Negative for intraepithelial lesion
624,3.090851237179575,0.5221086040057374,Negative for intraepithelial lesion
678,1.4628407783096837,0.2639951664537236,Negative for intraepithelial lesion
633,1.4752004773076444,0.8334543580111312,Negative for intraepithelial lesion
679,1.263731762267052,0.767806954671466,Negative for intraepithelial lesion
324,1.049076753238861,0.6258948068497427,Negative for intraepithelial lesion
885,1.2744815492338135,0.7947560240164582,Negative for intraepithelial lesion
550,1.1339086544426047,0.7799375408958497,Negative for intraepithelial lesion
458,1.2002160150529084,0.7671094207094202,Negative for intraepithelial lesion
504,1.1125234356746432,0.6094803996007291,Negative for intraepithelial lesion
341,1.0695316668998818,0.6976852609902449,Negative for intraepithelial lesion
402,1.2991666198394327,0.44305706347680535,Negative for intraepithelial lesion
505,1.1677131491836592,0.6250503734296284,Negative for intraepithelial lesion
545,1.2223957810686656,0.5677035972632429,Negative for intraepithelial lesion
617,1.442063973431147,0.7051808064963171,Negative for intraepithelial lesion
